,Day,Lending Rate,USDT Supplied
0,2020-12-02 00:00:00.000 UTC,0.08585442607367821,270.0
1,2020-12-03 00:00:00.000 UTC,3.549959253709362,112471.031979
2,2020-12-04 00:00:00.000 UTC,6.182232909172259,668791.943025
3,2020-12-05 00:00:00.000 UTC,3.6127562918850935,265389.359509
4,2020-12-06 00:00:00.000 UTC,8.548406984914086,582750.9474119999
5,2020-12-07 00:00:00.000 UTC,18.202331655209335,525533.720076
6,2020-12-08 00:00:00.000 UTC,8.822979565917882,1052822.976307
7,2020-12-09 00:00:00.000 UTC,4.090367846102155,4423340.675716
8,2020-12-10 00:00:00.000 UTC,5.021619977959799,203590.279482
9,2020-12-11 00:00:00.000 UTC,3.579126681073476,453539.45640400006
10,2020-12-12 00:00:00.000 UTC,9.336375820549655,449091.888506
11,2020-12-13 00:00:00.000 UTC,5.788297318442763,153655.491931
12,2020-12-14 00:00:00.000 UTC,5.728850638575791,4079514.5194820003
13,2020-12-15 00:00:00.000 UTC,13.49702751051337,2178796.026186
14,2020-12-16 00:00:00.000 UTC,9.64939657871254,203115.05778
15,2020-12-17 00:00:00.000 UTC,15.70869101327214,615548.2283409999
16,2020-12-18 00:00:00.000 UTC,8.970592800927006,3006837.3926200005
17,2020-12-19 00:00:00.000 UTC,7.703771882305427,436091.888401
18,2020-12-20 00:00:00.000 UTC,8.891052128537094,373290.730591
19,2020-12-21 00:00:00.000 UTC,7.729747110157786,842225.733509
20,2020-12-22 00:00:00.000 UTC,3.1203234525057275,8366453.27549
21,2020-12-23 00:00:00.000 UTC,5.790357355092338,2835699.886393999
22,2020-12-24 00:00:00.000 UTC,14.255663782662639,455904.2181710001
23,2020-12-25 00:00:00.000 UTC,14.323657131144705,2876270.6009210004
24,2020-12-26 00:00:00.000 UTC,12.76737538729866,1883265.4169930003
25,2020-12-27 00:00:00.000 UTC,10.30159120108114,993712.3444180002
26,2020-12-28 00:00:00.000 UTC,8.96064077430187,1310780.145645
27,2020-12-29 00:00:00.000 UTC,7.771321547239678,833014.3948200002
28,2020-12-30 00:00:00.000 UTC,6.518427050562208,2672787.0180079998
29,2020-12-31 00:00:00.000 UTC,4.315221083962398,2590104.522161
30,2021-01-01 00:00:00.000 UTC,11.048860297426257,2399858.639691
31,2021-01-02 00:00:00.000 UTC,16.63707389883604,4303179.0711240005
32,2021-01-03 00:00:00.000 UTC,11.14110262485338,1968375.2552710003
33,2021-01-04 00:00:00.000 UTC,14.336479593088779,1746922.4330280002
34,2021-01-05 00:00:00.000 UTC,6.9880117201368135,7833239.536967998
35,2021-01-06 00:00:00.000 UTC,14.869028795585328,7015425.232171999
36,2021-01-07 00:00:00.000 UTC,8.804358894781982,7430530.350393999
37,2021-01-08 00:00:00.000 UTC,8.831084346464232,3802738.5843889993
38,2021-01-09 00:00:00.000 UTC,8.238113687331102,3790925.1962209996
39,2021-01-10 00:00:00.000 UTC,10.481091197266885,3758149.993512
40,2021-01-11 00:00:00.000 UTC,12.897542324138689,2503783.268162
41,2021-01-12 00:00:00.000 UTC,9.088645277920024,4446995.5194500005
42,2021-01-13 00:00:00.000 UTC,10.158645808939784,3905333.559767
43,2021-01-14 00:00:00.000 UTC,11.646691670468034,3346028.789
44,2021-01-15 00:00:00.000 UTC,10.648878054284319,1031330.2940370002
45,2021-01-16 00:00:00.000 UTC,10.258506947360612,9466159.023145001
46,2021-01-17 00:00:00.000 UTC,12.988439387896436,1956445.19809
47,2021-01-18 00:00:00.000 UTC,10.898729298579834,3867395.8815360004
48,2021-01-19 00:00:00.000 UTC,17.659501200018916,5677132.464594999
49,2021-01-20 00:00:00.000 UTC,9.393110769675284,3732076.209561
50,2021-01-21 00:00:00.000 UTC,7.792335527540634,6528141.757813999
51,2021-01-22 00:00:00.000 UTC,12.706811941925016,6300528.158670998
52,2021-01-23 00:00:00.000 UTC,7.737474382406762,8627897.523184001
53,2021-01-24 00:00:00.000 UTC,13.502575528569189,4825880.011658
54,2021-01-25 00:00:00.000 UTC,11.172756255519475,6802815.589553
55,2021-01-26 00:00:00.000 UTC,8.859256092648916,6102171.838691999
56,2021-01-27 00:00:00.000 UTC,11.54857486516677,4083427.988279
57,2021-01-28 00:00:00.000 UTC,9.41168386195285,11460649.372804
58,2021-01-29 00:00:00.000 UTC,11.004922045287362,19756181.245331004
59,2021-01-30 00:00:00.000 UTC,8.234580459950665,4225625.825429999
60,2021-01-31 00:00:00.000 UTC,10.194379056143367,5116806.74097
61,2021-02-01 00:00:00.000 UTC,6.448377694349738,7692250.684305999
62,2021-02-02 00:00:00.000 UTC,13.649205026306133,8414683.422401
63,2021-02-03 00:00:00.000 UTC,15.287085289657302,4753164.068405001
64,2021-02-04 00:00:00.000 UTC,20.74606089004732,8419293.201095002
65,2021-02-05 00:00:00.000 UTC,12.165402068552774,7513641.032095
66,2021-02-06 00:00:00.000 UTC,6.659446555931999,19308850.109141
67,2021-02-07 00:00:00.000 UTC,5.757073773022212,5564360.063972
68,2021-02-08 00:00:00.000 UTC,12.001470146335171,149485937.974437
69,2021-02-09 00:00:00.000 UTC,19.06275931063283,10827183.693482
70,2021-02-10 00:00:00.000 UTC,18.801217241191992,9780128.058013998
71,2021-02-11 00:00:00.000 UTC,15.805708749583383,9091603.982542
72,2021-02-12 00:00:00.000 UTC,10.901936998346779,7374966.438797
73,2021-02-13 00:00:00.000 UTC,9.288287951035155,11885689.220066998
74,2021-02-14 00:00:00.000 UTC,9.04422608260356,3842762.6352340006
75,2021-02-15 00:00:00.000 UTC,10.512267156698334,4494186.484968
