,0,1
231,1387152000000,789.15
232,1387238400000,691.65
233,1387324800000,559.36
234,1387411200000,677.84
235,1387497600000,694.25
236,1387584000000,596.12
237,1387670400000,650.27
238,1387756800000,645.75
239,1387843200000,659.94
240,1387929600000,668.74
241,1388016000000,734.59
242,1388102400000,734.27
243,1388188800000,738.81
244,1388275200000,726.47
245,1388361600000,760.52
246,1388448000000,755.16
247,1388534400000,767.74
248,1388620800000,772.53
249,1388707200000,825.47
250,1388793600000,849.14
251,1388880000000,919.41
252,1388966400000,936.38
253,1389052800000,826.5
254,1389139200000,838.32
255,1389225600000,853.29
256,1389312000000,863.3
257,1389398400000,905.72
258,1389484800000,867.45
259,1389571200000,840.96
260,1389657600000,838.05
261,1389744000000,860.44
262,1389830400000,837.98
263,1389916800000,812.9
264,1390003200000,840.0
265,1390089600000,838.17
266,1390176000000,869.15
267,1390262400000,869.57
268,1390348800000,865.03
269,1390435200000,846.97
270,1390521600000,808.32
271,1390608000000,804.39
272,1390694400000,853.51
273,1390780800000,891.86
274,1390867200000,777.0
275,1390953600000,816.85
276,1391040000000,817.17
277,1391126400000,817.93
278,1391212800000,832.52
279,1391299200000,836.41
280,1391385600000,813.38
281,1391472000000,832.36
282,1391558400000,830.92
283,1391644800000,805.08
284,1391731200000,721.32
285,1391817600000,701.61
286,1391904000000,672.07
287,1391990400000,689.65
288,1392076800000,697.76
289,1392163200000,655.26
290,1392249600000,651.91
291,1392336000000,623.57
292,1392422400000,644.1
293,1392508800000,613.85
294,1392595200000,645.14
295,1392681600000,625.01
296,1392768000000,620.99
297,1392854400000,593.89
298,1392940800000,582.75
299,1393027200000,571.06
300,1393113600000,622.97
301,1393200000000,572.39
302,1393286400000,489.31
303,1393372800000,567.25
304,1393459200000,586.28
305,1393545600000,567.2
306,1393632000000,560.11
307,1393718400000,561.35
308,1393804800000,585.79
309,1393891200000,675.0
310,1393977600000,658.24
311,1394064000000,654.55
312,1394150400000,617.62
313,1394236800000,610.37
314,1394323200000,636.17
315,1394409600000,621.17
316,1394496000000,624.23
317,1394582400000,638.07
318,1394668800000,639.03
319,1394755200000,629.67
320,1394841600000,638.07
321,1394928000000,629.55
322,1395014400000,623.705
323,1395100800000,612.622
324,1395187200000,610.636
325,1395273600000,592.07
326,1395360000000,582.303
