,Day,Lending Rate,USDC Supplied
0,2020-12-02 00:00:00.000 UTC,0.03236145827308532,10103.280622
1,2020-12-03 00:00:00.000 UTC,2.6538334906727354,472095.6732390001
2,2020-12-04 00:00:00.000 UTC,6.913974327433675,254170.07622999998
3,2020-12-05 00:00:00.000 UTC,8.722476358854992,645417.0544650002
4,2020-12-06 00:00:00.000 UTC,7.978266437275704,1529638.1786290002
5,2020-12-07 00:00:00.000 UTC,5.298398945838378,2595560.3511340003
6,2020-12-08 00:00:00.000 UTC,7.19566539328002,833360.905475
7,2020-12-09 00:00:00.000 UTC,8.850769769379884,1403285.9240519998
8,2020-12-10 00:00:00.000 UTC,7.295820649548352,499823.315353
9,2020-12-11 00:00:00.000 UTC,3.6852888077695702,509056.745988
10,2020-12-12 00:00:00.000 UTC,4.1213700755080485,114208.27593
11,2020-12-13 00:00:00.000 UTC,5.630473651744393,2841053.5682249996
12,2020-12-14 00:00:00.000 UTC,5.210857766318604,1014312.617311
13,2020-12-15 00:00:00.000 UTC,9.488367744404764,1489316.3517550002
14,2020-12-16 00:00:00.000 UTC,5.164339839994206,726127.377077
15,2020-12-17 00:00:00.000 UTC,10.142251390144839,564805.312014
16,2020-12-18 00:00:00.000 UTC,5.672634255753183,975490.5877579999
17,2020-12-19 00:00:00.000 UTC,6.509541753357048,597296.181376
18,2020-12-20 00:00:00.000 UTC,5.785698365103926,897935.0895340001
19,2020-12-21 00:00:00.000 UTC,11.90373999018017,1191310.261253
20,2020-12-22 00:00:00.000 UTC,10.548521945785684,4388090.718458
21,2020-12-23 00:00:00.000 UTC,8.116192946967885,208046.47796599998
22,2020-12-24 00:00:00.000 UTC,7.952733845810633,1074261.911801
23,2020-12-25 00:00:00.000 UTC,8.607720523726273,602965.104392
24,2020-12-26 00:00:00.000 UTC,5.715386703449628,499165.80853700003
25,2020-12-27 00:00:00.000 UTC,6.458201109178032,1053212.6286610002
26,2020-12-28 00:00:00.000 UTC,9.946791738756456,786416.9047310001
27,2020-12-29 00:00:00.000 UTC,3.5769506414686627,11189148.287403999
28,2020-12-30 00:00:00.000 UTC,6.697296096968635,7479009.971747
29,2020-12-31 00:00:00.000 UTC,5.035317848728265,5175367.096099
30,2021-01-01 00:00:00.000 UTC,5.736943169271171,4854364.982108002
31,2021-01-02 00:00:00.000 UTC,7.708678269795073,8014651.52898
32,2021-01-03 00:00:00.000 UTC,11.202380421587883,4261187.695495999
33,2021-01-04 00:00:00.000 UTC,8.941643132434374,4677124.893449999
34,2021-01-05 00:00:00.000 UTC,6.821724870870922,6981951.738115
35,2021-01-06 00:00:00.000 UTC,21.684178843032466,10721994.454408001
36,2021-01-07 00:00:00.000 UTC,8.27706269756556,9161678.685203
37,2021-01-08 00:00:00.000 UTC,9.6758356701214,6799795.71673
38,2021-01-09 00:00:00.000 UTC,8.833808108817006,5313033.093360999
39,2021-01-10 00:00:00.000 UTC,6.339493981645267,9966204.045789
40,2021-01-11 00:00:00.000 UTC,4.761094439588191,3696006.6002619993
41,2021-01-12 00:00:00.000 UTC,6.161696325318715,5658530.330887999
42,2021-01-13 00:00:00.000 UTC,5.932070491333452,5207476.916924
43,2021-01-14 00:00:00.000 UTC,6.128823910138108,9141467.421276
44,2021-01-15 00:00:00.000 UTC,8.976293951360388,2625866.9691040004
45,2021-01-16 00:00:00.000 UTC,6.761498939347589,8707288.737586001
46,2021-01-17 00:00:00.000 UTC,11.717261417055974,6048767.544662
47,2021-01-18 00:00:00.000 UTC,7.816009402537979,6382442.381795
48,2021-01-19 00:00:00.000 UTC,11.120519281869267,14104234.819944996
49,2021-01-20 00:00:00.000 UTC,9.129359910415548,3707962.1371479994
50,2021-01-21 00:00:00.000 UTC,7.2888783853648045,8981993.532967001
51,2021-01-22 00:00:00.000 UTC,9.376503242214712,11126010.681789001
52,2021-01-23 00:00:00.000 UTC,7.813394529025038,12732381.157125005
53,2021-01-24 00:00:00.000 UTC,11.383468858798455,7553385.064797
54,2021-01-25 00:00:00.000 UTC,7.857410798756122,12059590.181234
55,2021-01-26 00:00:00.000 UTC,5.7056328633381534,9046508.35802
56,2021-01-27 00:00:00.000 UTC,6.073461571480651,7118962.709854
57,2021-01-28 00:00:00.000 UTC,5.432919657514303,24134744.636891
58,2021-01-29 00:00:00.000 UTC,6.506169396548171,6907851.271861
59,2021-01-30 00:00:00.000 UTC,8.32433774648031,8587026.861771997
60,2021-01-31 00:00:00.000 UTC,8.34861734995827,10076887.666216003
61,2021-02-01 00:00:00.000 UTC,6.290526796998189,21626761.617189005
62,2021-02-02 00:00:00.000 UTC,11.974998959474702,9943713.642064
63,2021-02-03 00:00:00.000 UTC,15.189735697832036,9436547.058195
64,2021-02-04 00:00:00.000 UTC,10.931861744915862,11303408.216609
65,2021-02-05 00:00:00.000 UTC,11.899450948762786,13041090.018110001
66,2021-02-06 00:00:00.000 UTC,8.156474943125023,10293376.530317
67,2021-02-07 00:00:00.000 UTC,5.6180860046665755,5853236.569929999
68,2021-02-08 00:00:00.000 UTC,14.00077075629712,181631110.50707
69,2021-02-09 00:00:00.000 UTC,20.536971656156403,13953119.802113
70,2021-02-10 00:00:00.000 UTC,19.04634727886036,13486697.501016002
71,2021-02-11 00:00:00.000 UTC,20.01959965612239,24888028.773500003
72,2021-02-12 00:00:00.000 UTC,12.287777827778172,8480317.412820004
73,2021-02-13 00:00:00.000 UTC,8.744647073064838,18474486.620880995
74,2021-02-14 00:00:00.000 UTC,8.985371015204251,20383153.323948998
