Date,Open,High,Low,Close,Adj Close,Volume
2022-02-02,0.195000,0.195000,0.180000,0.185000,0.185000,0
2022-02-03,0.193000,0.198000,0.188000,0.193000,0.193000,0
2022-02-04,0.190000,0.228000,0.188000,0.223000,0.223000,0
2022-02-06,null,null,null,null,null,null
2022-02-07,0.220000,0.220000,0.200000,0.203000,0.203000,0
2022-02-08,0.270000,0.275000,0.265000,0.275000,0.275000,0
2022-02-09,0.270000,0.275000,0.268000,0.270000,0.270000,0
2022-02-10,0.260000,0.370000,0.255000,0.370000,0.370000,0
2022-02-11,0.373000,0.383000,0.318000,0.338000,0.338000,0
2022-02-13,null,null,null,null,null,null
2022-02-14,0.355000,0.388000,0.350000,0.360000,0.360000,0
2022-02-15,0.415000,0.420000,0.398000,0.400000,0.400000,0
2022-02-16,0.405000,0.410000,0.350000,0.373000,0.373000,0
2022-02-17,0.360000,0.360000,0.330000,0.345000,0.345000,0
2022-02-18,0.328000,0.335000,0.308000,0.318000,0.318000,0
2022-02-20,null,null,null,null,null,null
2022-02-22,0.320000,0.330000,0.308000,0.330000,0.330000,0
2022-02-23,0.365000,0.365000,0.318000,0.340000,0.340000,0
2022-02-24,0.295000,0.295000,0.265000,0.283000,0.283000,0
2022-02-25,0.303000,0.313000,0.280000,0.298000,0.298000,0
2022-02-27,null,null,null,null,null,null
2022-02-28,0.310000,0.310000,0.273000,0.288000,0.288000,0
2022-03-01,0.330000,0.338000,0.300000,0.313000,0.313000,0
2022-03-02,0.330000,0.345000,0.318000,0.325000,0.325000,0
2022-03-03,0.310000,0.335000,0.298000,0.335000,0.335000,0
2022-03-04,0.325000,0.325000,0.295000,0.305000,0.305000,0
2022-03-06,null,null,null,null,null,null
2022-03-07,0.315000,0.320000,0.295000,0.305000,0.305000,0
2022-03-08,0.363000,0.363000,0.350000,0.360000,0.360000,0
2022-03-09,0.360000,0.370000,0.348000,0.370000,0.370000,0
2022-03-10,0.370000,0.375000,0.348000,0.360000,0.360000,0
2022-03-11,0.365000,0.365000,0.350000,0.365000,0.365000,0
2022-03-13,null,null,null,null,null,null
2022-03-14,0.373000,0.388000,0.363000,0.378000,0.378000,0
2022-03-15,0.450000,0.450000,0.445000,0.448000,0.448000,0
2022-03-16,0.460000,0.465000,0.430000,0.433000,0.433000,0
2022-03-17,0.370000,0.373000,0.353000,0.360000,0.360000,0
2022-03-18,0.358000,0.385000,0.353000,0.383000,0.383000,0
2022-03-20,null,null,null,null,null,null
2022-03-21,0.380000,0.468000,0.380000,0.455000,0.455000,0
2022-03-22,0.543000,0.545000,0.515000,0.520000,0.520000,0
2022-03-23,0.510000,0.510000,0.478000,0.480000,0.480000,0
2022-03-24,0.455000,0.488000,0.455000,0.483000,0.483000,0
2022-03-25,0.488000,0.533000,0.485000,0.520000,0.520000,0
2022-03-27,null,null,null,null,null,null
2022-03-28,0.523000,0.525000,0.503000,0.508000,0.508000,0
2022-03-29,0.595000,0.598000,0.553000,0.555000,0.555000,0
2022-03-30,0.550000,0.563000,0.500000,0.525000,0.525000,0
2022-03-31,0.508000,0.518000,0.488000,0.493000,0.493000,0
2022-04-01,0.498000,0.505000,0.498000,0.500000,0.500000,0
2022-04-03,null,null,null,null,null,null
2022-04-04,0.500000,0.540000,0.500000,0.538000,0.538000,0
2022-04-05,0.663000,0.675000,0.663000,0.668000,0.668000,0
