,datetime,fundingRate,price_spot,volume_spot,price_perps,volume_perps,trades_perps
68,2022-10-31,0.0010950000000000003,1.0001,19081709.8,1.0,52538.0,
69,2022-11-01,0.00036500000000000004,1.0002,14082727.11,1.0,15704.3,
70,2022-11-01,0.0010950000000000003,1.0002,14082727.11,1.0,15704.3,
71,2022-11-02,0.0010950000000000003,1.0001,22089825.58,1.0,296254.5,
72,2022-11-03,0.0010950000000000003,1.0,16616888.5,0.9999,135589.9,
73,2022-11-04,0.0010950000000000003,0.9999,16168617.97,1.0,129712.1,
74,2022-11-05,0.0010950000000000003,0.9999,11597784.07,1.0,48674.4,
75,2022-11-06,0.0010950000000000003,1.0,9844383.8,0.9999,52414.2,
76,2022-11-07,0.0010950000000000003,0.9999,19714238.85,1.0,133621.9,
77,2022-11-08,0.0010950000000000003,1.0,59823893.14,1.0001,1313897.9,
78,2022-11-09,77.32050500000001,1.0017,78843088.1,1.0022,4740308.1,
79,2022-11-10,157.97273,1.0027,111308029.74,1.0021,21983307.6,
80,2022-11-11,39.041129999999995,1.0022,37593965.11,1.0028,3647955.4,
81,2022-11-12,81.25703000000001,1.0017,27485649.5,1.0021,2497416.2,
82,2022-11-13,78.0297,1.0015,16468452.79,1.0023,1117887.4,
83,2022-11-14,26.191305000000003,1.0013,17623352.01,1.0022,1289648.1,
84,2022-11-15,71.806085,1.0012,16321924.33,1.0008,1623583.2,
85,2022-11-16,13.75977,1.0009,15348502.74,1.0014,352650.6,
86,2022-11-17,6.296615,1.0005,11713693.61,1.0011,282925.2,
87,2022-11-18,2.839335,1.0012,10175237.63,1.0015,135879.3,
88,2022-11-19,4.904505,1.001,7646177.85,1.0021,152691.6,
89,2022-11-20,18.0894,1.0013,11278167.35,1.0018,161812.9,
90,2022-11-21,4.901585000000001,1.0011,12932259.38,1.0016,534909.7,
91,2022-11-22,8.02343,1.0012,14131075.83,1.002,312682.5,
92,2022-11-23,8.866215,1.001,10937849.09,1.0019,223756.0,
93,2022-11-24,16.80825,1.0008,11036193.93,1.0014,316361.1,
