,datetime,fundingRate,price_spot,volume_spot,price_perps,volume_perps,trades_perps
0,2022-08-25,-0.0010950000000000003,1.000100010001,3059998.32,1.0007004903432404,4336909.1,
1,2022-08-26,-0.0010950000000000003,1.0,3969962.51,1.0,469168.0,
2,2022-08-27,-0.0007300000000000001,1.0,2499619.47,1.000100010001,3128611.0,
3,2022-08-27,-0.0007300000000000001,1.0,2499619.47,1.000100010001,3128611.0,
4,2022-08-28,-0.0010950000000000003,1.0,1868894.26,1.000100010001,1155897.7,
5,2022-08-29,-0.0010950000000000003,1.000100010001,3282520.64,1.0,22891.3,
6,2022-08-30,-0.0010950000000000003,1.0,4145158.62,1.0005002501250624,4246037.1,
7,2022-08-31,-0.0010950000000000003,1.000100010001,3193600.44,1.0009008107296566,5569590.1,
8,2022-09-01,-0.0010950000000000003,1.000100010001,3352986.74,1.000300090027008,2626509.5,
9,2022-09-02,-0.0010950000000000003,1.0,2908677.51,1.000300090027008,120230.1,
10,2022-09-03,-0.0010950000000000003,1.000100010001,1969145.42,1.0007004903432404,147001.5,
11,2022-09-04,-0.0010950000000000003,1.0,2154510.67,1.0005002501250624,49207.3,
12,2022-09-05,-0.0010950000000000003,1.0,3708795.25,1.00080064051241,2162185.8,
13,2022-09-06,-0.0010950000000000003,1.0,7823200.54,1.0,248722.4,
14,2022-09-07,-0.0010950000000000003,1.0,6304194.27,0.9998000399920016,120650.0,
15,2022-09-08,-0.0010950000000000003,1.000100010001,5647481.99,0.9998000399920016,30661.3,
16,2022-09-09,-0.0010950000000000003,1.0004001600640255,10789006.49,1.0004001600640255,161648.0,
17,2022-09-10,-0.0010950000000000003,1.000300090027008,5325167.21,1.0006003602161297,41669.8,
18,2022-09-11,-0.0010950000000000003,1.000300090027008,7270150.86,1.0006003602161297,43207.5,
19,2022-09-12,-0.0010950000000000003,1.0002000400080016,7434399.74,1.0002000400080016,91715.8,
20,2022-09-13,-0.0010950000000000003,1.000100010001,20710846.61,1.0007004903432404,135465.3,
21,2022-09-14,-0.0010950000000000003,1.000100010001,10772242.15,1.0006003602161297,12875.5,
22,2022-09-15,-0.0010950000000000003,1.0,14457998.08,1.000300090027008,48698.1,
23,2022-09-16,-0.0010950000000000003,0.9999000099990001,7560088.98,1.000300090027008,229288.0,
24,2022-09-17,-0.0010950000000000003,1.000100010001,6402383.12,1.000300090027008,41459.7,
25,2022-09-18,-0.0010950000000000003,1.0,13538761.45,1.0006003602161297,114895.8,
26,2022-09-19,-0.0010950000000000003,1.0002000400080016,8358150.66,1.001001001001001,214724.1,
27,2022-09-20,-0.0010950000000000003,1.0002000400080016,6771460.02,1.000300090027008,133035.6,
28,2022-09-21,-0.0010950000000000003,1.0,8199622.55,1.0007004903432404,75122.2,
29,2022-09-22,-0.0010950000000000003,0.9999000099990001,8069835.94,1.0006003602161297,9751.0,
30,2022-09-23,-0.0010950000000000003,1.0,6912460.92,1.0005002501250624,169912.7,
31,2022-09-24,-0.0010950000000000003,1.000100010001,4141136.67,1.0006003602161297,39532.9,
32,2022-09-25,-0.0010950000000000003,1.0,33880011.62,1.0005002501250624,52950.7,
33,2022-09-26,-0.0010950000000000003,1.0,16557439.3,1.0006003602161297,85151.9,
34,2022-09-27,-0.0010950000000000003,0.9999000099990001,11460159.24,1.0006003602161297,130032.3,
35,2022-09-28,-0.0010950000000000003,1.0,6503694.28,1.0005002501250624,199196.7,
36,2022-09-29,-0.0010950000000000003,1.0,11229905.01,1.0005002501250624,546762.2,
37,2022-09-30,-0.0010950000000000003,1.0,11088722.95,1.0005002501250624,28149.7,
38,2022-10-01,-0.0010950000000000003,1.0,3735886.4,1.0005002501250624,40414.4,
39,2022-10-02,-0.0010950000000000003,1.0,5108463.93,1.0006003602161297,33604.5,
40,2022-10-03,-0.0010950000000000003,1.000100010001,7186919.66,1.000300090027008,31459.6,
41,2022-10-04,-0.0010950000000000003,1.0002000400080016,6261581.91,1.000300090027008,45703.0,
42,2022-10-05,-0.0010950000000000003,1.0002000400080016,7536782.78,1.0005002501250624,72529.6,
43,2022-10-06,-0.0010950000000000003,1.0002000400080016,223943934.06,1.0005002501250624,28716.1,
44,2022-10-07,-0.0010950000000000003,1.000100010001,267806101.84,1.000300090027008,65601.8,
45,2022-10-08,-0.0010950000000000003,1.000100010001,85160568.01,1.0002000400080016,5421.4,
46,2022-10-09,-0.0010950000000000003,1.000100010001,7081664.27,1.0005002501250624,41029.1,
47,2022-10-10,-0.0010950000000000003,1.0,18642555.61,1.0004001600640255,54821.6,
48,2022-10-11,-0.0010950000000000003,0.9999000099990001,14085370.69,1.000300090027008,105223.1,
49,2022-10-12,-0.0010950000000000003,1.0,10249277.32,1.000300090027008,68981.1,
50,2022-10-13,-0.0010950000000000003,1.0,22626130.56,1.000300090027008,98012.4,
51,2022-10-14,-0.0010950000000000003,1.000100010001,10280632.64,1.000300090027008,234864.6,
52,2022-10-15,-0.0010950000000000003,1.0,10287055.83,1.0002000400080016,31206.3,
53,2022-10-16,-0.0010950000000000003,1.000100010001,7842782.72,1.000300090027008,26477.0,
54,2022-10-17,-0.0010950000000000003,1.0,11657918.24,1.000100010001,283056.6,
55,2022-10-18,-0.0010950000000000003,1.000100010001,13127531.04,1.0002000400080016,55358.9,
56,2022-10-19,-0.0010950000000000003,1.0,14233485.63,1.000100010001,33126.3,
57,2022-10-20,-0.0010950000000000003,0.9998000399920016,13131840.59,1.0,931482.5,
58,2022-10-21,-0.0010950000000000003,1.000100010001,14858967.36,1.000100010001,1269445.0,
